BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Town Hall,45167,Servicing Contracts,200150,01/07/2022,5100501543,705.55,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Victoria Park Sports Area,45244,Servicing Contracts,200150,01/07/2022,5100501549,521.22,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Victoria Park Sports Pavillion,45212,Servicing Contracts,200150,01/07/2022,5100501550,1249.07,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Walton Crematorium,45016,Servicing Contracts,200150,01/07/2022,5100501551,502.1,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Walton Golf Course (Clubhouse),45114,Servicing Contracts,200150,01/07/2022,5100501552,769.63,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Walton Hall,45123,Servicing Contracts,200150,01/07/2022,5100501553,1196.29,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Market Multi Storey Car Park Academy Way,45131,Servicing Contracts,200150,01/07/2022,5100501564,1083.43,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Westy Community Centre,45069,Servicing Contracts,200150,01/07/2022,5100501567,507.62,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Whitecross Community Centre,45070,Servicing Contracts,200150,01/07/2022,5100501571,507.46,Equans Services Ltd,118813,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Environmental Projects,82007,Building Work,200850,01/07/2022,5100501603,7691.0,Complete Home Energy Systems,111861,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,NTH/Quattro Re-Dvelopment,40063,Consult.& Prof. Serv,440000,01/07/2022,5100501606,28000.0,Like Architects Ltd,118027,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Facilities Management,41422,Materials,400500,01/07/2022,5100501610,1048.0,Atg Access Ltd,105321,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Golf Course Client,41432,Equipment Purchase & Contract,400000,01/07/2022,5100501614,4120.0,B & K Landscapes,105448,2022,July
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Virtual School,31112,Looked after children in Warrington,301000,01/07/2022,5100501618,1200.0,Carlton Academy Trust,118804,2022,July
