BODY,BODY NAME,SERVICE CODE,ORGANISATIONAL UNIT,ORGANISATIONAL UNIT CODE,EXPENDITURE CATEGORY,EXPENDITURE CODE,DATE (POSTING DATE),TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,Year,Month
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Financial Protection Team,56130,Consult.& Prof. Serv,440000,02/08/2022,5100503126,3042.0,Woolton Physiotherapy Clinic,117516,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Financial Protection Team,56130,Consult.& Prof. Serv,440000,02/08/2022,5100503128,1260.0,Woolton Physiotherapy Clinic,117516,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Walton Estate,41430,Consult.& Prof. Serv,440000,14/07/2022,5100503163,1800.0,Carringtons Catering Ltd,116708,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Walton Estate,41430,Consult.& Prof. Serv,440000,14/07/2022,5100503164,1500.0,Carringtons Catering Ltd,116708,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Walton Estate,41430,Consult.& Prof. Serv,440000,14/07/2022,5100503165,900.0,Carringtons Catering Ltd,116708,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Facilities Management,41422,Materials,400500,14/07/2022,5100503172,517.81,M C & M A Stewart Haulage Ltd,105159,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Pr Sm Roads,44251,Events on the Highway,531350,14/07/2022,5100503218,800.0,Gentian Events Ltd,115495,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Contracts - SM Commissioning Team 1,55910,Drug Action,443600,14/07/2022,5100503223,8560.0,JMU Services Limited,118286,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Crematorium,41411,Maintenance of Plant & Machinery,250050,02/08/2022,5100503224,547.0,LEEC limited,112211,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,Inclusion,32207,Fees (Including Agents Fees),441450,14/07/2022,5100503225,500.0,Leggett Consultancy,118590,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Transport Holding Account,41311,Tyres,300250,14/07/2022,5100503226,7575.78,Lodge Tyre Company,105203,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,RSC,Communications,13000,Licences,492000,14/07/2022,5100503227,3083.4,NLA Media Access Limited,118869,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENO,Highways Other,82005,Consult.& Prof. Serv,440000,14/07/2022,5100503230,1721.0,British Telecommunications Plc,104543,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,Corporate Planning Items,61020,Subscriptions,470000,26/07/2022,5100503234,3750.0,Reward Gateway (UK) Ltd,102494,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ENP,Environment & Regeneration,82000,Materials,400500,02/08/2022,5100503235,909.35,Rexel Ltd,104965,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,DG0,Estates & Valuation,43520,Consult.& Prof. Serv,440000,14/07/2022,5100503240,1250.0,Sanderson Weatherall LLP,117413,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Private Sector Hsg.,43660,Agency Supply - GF,180000,14/07/2022,5100503245,637.0,G2V Recruitment Group,117396,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Walton Hall Catering,41433,Provisions-Purchase,410000,14/07/2022,5100503249,8441.01,Carringtons Catering Ltd,116708,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,Concessionary Travel,60000,Travelling Allowance,330000,02/08/2022,5100503250,3577.9,Cheshire West And Chester,103357,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,COR,Concessionary Travel,60000,Travelling Allowance,330000,02/08/2022,5100503251,3135.92,Cheshire West And Chester,103357,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,New Bus Depot Dallam Lane,40048,Consult.& Prof. Serv,440000,02/08/2022,5100503252,1000.0,Janus Building Design Ltd,118058,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,New Bus Depot Dallam Lane,40048,Consult.& Prof. Serv,440000,14/07/2022,5100503253,7750.0,Janus Building Design Ltd,118058,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,14/07/2022,5100503254,3122.0,Nottingham Rehab Limited,101513,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,FWB,BCF - Equipment Store,54930,Equipment Purchase & Contract,400000,14/07/2022,5100503254,564.9,Nottingham Rehab Limited,101513,2022,August
WARRINGTON BOROUGH COUNCIL,http://opendatacommunities.org/id/unitary-authority/warrington,ET0,Building Control Services,43410,Uniforms,420000,15/07/2022,5100503321,838.95,Arco Ltd,104484,2022,August
